time,src,dst,proto
1749121944.073147,N/A,N/A,6
1749121944.073557,N/A,N/A,6
1749121944.080704,N/A,N/A,6
1749121944.080791,N/A,N/A,6
1749121944.250628,N/A,N/A,6
1749121944.250739,N/A,N/A,6
1749121947.20555,N/A,N/A,6
1749121947.443886,N/A,N/A,6
1749121947.443886,N/A,N/A,6
1749121947.496191,N/A,N/A,6
1749121952.460024,N/A,N/A,N/A
1749121952.460074,N/A,N/A,N/A
1749121954.962586,N/A,N/A,6
1749121955.041035,N/A,N/A,6
1749121957.11393,N/A,N/A,2
1749121957.241968,N/A,N/A,6
1749121957.25827,N/A,N/A,17
1749121957.260189,N/A,N/A,N/A
1749121957.273324,N/A,N/A,6
1749121957.321468,N/A,N/A,6
1749121957.421957,N/A,N/A,17
1749121957.422177,N/A,N/A,17
1749121957.424845,N/A,N/A,17
1749121957.424845,N/A,N/A,17
1749121957.424845,N/A,N/A,17
1749121957.424845,N/A,N/A,17
1749121957.424845,N/A,N/A,17
1749121957.424845,N/A,N/A,17
1749121957.982234,N/A,N/A,6
1749121958.225046,N/A,N/A,6
1749121958.225237,N/A,N/A,6
1749121958.226938,N/A,N/A,6
1749121958.263441,N/A,N/A,17
1749121958.265439,N/A,N/A,N/A
1749121958.376306,N/A,N/A,17
1749121958.376519,N/A,N/A,17
1749121958.378238,N/A,N/A,17
1749121958.396931,N/A,N/A,6
1749121958.40537,N/A,N/A,6
1749121958.40554,N/A,N/A,6
1749121958.406824,N/A,N/A,6
1749121958.413997,N/A,N/A,6
1749121958.413997,N/A,N/A,6
1749121958.414639,N/A,N/A,6
1749121958.415439,N/A,N/A,6
1749121958.415762,N/A,N/A,6
1749121958.416113,N/A,N/A,6
1749121958.422394,N/A,N/A,6
1749121958.423251,N/A,N/A,6
1749121958.423251,N/A,N/A,6
